mse_id,udyam_no,enterprise_name,org_type,gender_owner,social_category,specially_abled,state,district,pin_code,nic_5digit,major_activity,classification,employees,investment_lakh,description,products,ondc_domain,b2b_or_b2c,current_business_state,has_gstin,has_pan,has_catalogue,has_devices,has_printer,workshop_interest,language,mobile_number
MSE-00001,UDYAM-PY-27-1169162,Omkar Kirana Stores,Proprietary,Male,General,No,Puducherry,Pondicherry,225950,56303,Manufacturing,Micro,1,2.0,"Hum Pondicherry mein catering food aur snacks banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",catering food|snacks|bakery items,RET11,B2C,Only offline,No,No,No,No,No,Yes,kn,9467460446
MSE-00002,UDYAM-TN-14-9433018,Gade Traders,Proprietary,Male,OBC,No,Tamil Nadu,Villupuram,502319,25939,Services,Micro,2,10.0,हम machine parts और steel fabrication बनाते हैं। हमारा काम Villupuram में है और हम ऑनलाइन बेचना चाहते हैं।,machine parts|steel fabrication|industrial fittings,RET1B,Both,Only offline,Yes,Yes,Yes,No,No,No,te,9362751167
MSE-00003,UDYAM-MH-21-1614243,Soyeb Chicken And Mutton Center,Proprietary,Male,General,No,Maharashtra,Raigad,671483,10101,Services,Micro,2,1.0,हम spices और namkeen बनाते हैं। हमारा काम Raigad में है और हम ऑनलाइन बेचना चाहते हैं।,spices|namkeen|dry fruits,RET10,B2C,Both,No,No,No,Yes,No,No,hi,9525092874
MSE-00004,UDYAM-MH-20-6507273,A I Enterprises,Proprietary,Male,General,No,Maharashtra,Mumbai Suburban,557172,16231,Manufacturing,Micro,2,3.0,"Hum Mumbai Suburban mein wooden furniture aur cookware banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",wooden furniture|cookware|curtains,RET16,B2C,Only offline,Yes,Yes,Yes,Yes,No,Yes,gu,9842142756
MSE-00005,UDYAM-UP-09-1993658,Ramkrishna Casting,Partnership,Male,General,No,Uttar Pradesh,Deoria,818000,24209,Manufacturing,Small,10,30.0,Ramkrishna Casting is a small enterprise producing machine parts. We want to sell online across India.,machine parts|fasteners|industrial fittings,RET1B,B2C,Both,No,Yes,No,No,No,Yes,hi,9441694285
MSE-00006,UDYAM-KL-10-0592109,Shree Swami Krupa Jewellers,Proprietary,Female,General,No,Kerala,Alappuzha,175087,32111,Manufacturing,Micro,1,5.0,हम handbags और denim jeans बनाते हैं। हमारा काम Alappuzha में है और हम ऑनलाइन बेचना चाहते हैं।,handbags|denim jeans|leather footwear,RET12,B2C,Only offline,Yes,Yes,No,No,Yes,No,hi,9698519262
MSE-00007,UDYAM-MH-32-2092272,Kapil Bangles,Proprietary,Male,General,No,Maharashtra,Pune,262834,23106,Services,Micro,2,1.0,हम paints और tiles बनाते हैं। हमारा काम Pune में है और हम ऑनलाइन बेचना चाहते हैं।,paints|tiles|cement blocks,RET1C,B2B,Only offline,No,Yes,No,No,Yes,Yes,mr,9399164175
MSE-00008,UDYAM-KA-19-9796029,Cafe 007,Proprietary,Male,General,No,Karnataka,Belagavi,751017,56102,Services,Micro,3,10.0,We manufacture beverages and catering food in Belagavi. Supplying to local shops and traders for over 2 years.,beverages|catering food|bakery items,RET11,B2C,Only offline,Yes,Yes,Yes,Yes,Yes,No,hi,9752869736
MSE-00009,UDYAM-CG-22-1249221,Vihaan Art Work,Proprietary,Male,General,No,Chhattisgarh,Bemetara,269111,25999,Manufacturing,Micro,2,1.0,हम steel fabrication और hand tools बनाते हैं। हमारा काम Bemetara में है और हम ऑनलाइन बेचना चाहते हैं।,steel fabrication|hand tools|machine parts,RET1B,B2B,Only offline,No,Yes,Yes,No,No,Yes,mr,9250567692
MSE-00010,UDYAM-WB-01-8166476,Baba Tyers / Mohd Taufique Raza,Proprietary,Male,General,No,West Bengal,Murshidabad,714732,22111,Services,Small,3,20.0,"Small unit making curtains, home decor items and bedsheets. Quality products at wholesale rates.",curtains|home decor items|bedsheets,RET16,B2C,Only online,No,Yes,No,Yes,Yes,Yes,hi,9835460769
MSE-00011,UDYAM-AS-28-8181025,Madina Gold,Proprietary,Male,General,No,Assam,Tinsukia,130870,32111,Manufacturing,Micro,1,2.0,"Hum Tinsukia mein cotton sarees aur kurtis banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",cotton sarees|kurtis|kids garments,RET12,B2C,Only offline,Yes,Yes,No,No,No,No,ta,9607188463
MSE-00012,UDYAM-MH-31-9885631,Kiran Tailors,Proprietary,Male,OBC,No,Maharashtra,Aurangabad,803222,14105,Services,Micro,1,1.0,Kiran Tailors is a micro enterprise producing handbags. We want to sell online across India.,handbags|cotton sarees|kids garments,RET12,B2C,Only offline,Yes,Yes,Yes,Yes,No,Yes,ta,9718755196
MSE-00013,UDYAM-MH-14-9393181,Shree Ganesh Spare Part,Proprietary,Male,General,No,Maharashtra,Thane,365471,29301,Manufacturing,Micro,2,2.0,We manufacture two-wheeler accessories and auto spare parts in Thane. Supplying to local shops and traders for over 20 years.,two-wheeler accessories|auto spare parts|car care products,RET1A,B2C,Only offline,No,No,No,Yes,No,Yes,hi,9366195185
MSE-00014,UDYAM-TN-16-9611866,S M Tailor,Proprietary,Male,OBC,No,Tamil Nadu,Tiruppur,175797,14105,Services,Micro,2,5.0,"Humari unit artificial jewellery banati hai. 14 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",artificial jewellery|kurtis|cotton sarees,RET12,B2C,Only offline,No,Yes,No,Yes,No,Yes,hi,9234599271
MSE-00015,UDYAM-BR-27-8095721,Gopale Fast Food,Proprietary,Male,General,No,Bihar,Patna,657443,56292,Services,Micro,3,5.0,"Hum Patna mein catering food aur bakery items banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",catering food|bakery items|snacks,RET11,B2B,Only offline,Yes,Yes,No,No,No,No,gu,9997754192
MSE-00016,UDYAM-TN-34-9131979,Navya Catering And Decorators,Proprietary,Male,General,No,Tamil Nadu,Virudhunagar,608954,56210,Services,Micro,5,4.0,We manufacture catering food and tiffin meals in Virudhunagar. Supplying to local shops and traders for over 15 years.,catering food|tiffin meals|snacks,RET11,B2B,Only offline,No,Yes,Yes,Yes,Yes,Yes,te,9692492733
MSE-00017,UDYAM-MH-09-8893206,Swagann,Proprietary,Female,General,No,Maharashtra,Beed,121844,14101,Manufacturing,Small,20,50.0,Swagann is a small enterprise producing kids garments. We want to sell online across India.,kids garments|artificial jewellery|cotton sarees,RET12,B2C,Only offline,No,Yes,No,Yes,Yes,Yes,hi,9530515713
MSE-00018,UDYAM-WB-32-0470627,Durga Swadist Bhel And Panipuri,Proprietary,Female,General,No,West Bengal,South 24 Praganas,111379,10799,Services,Micro,2,1.0,"Small unit making papad, spices and jaggery. Quality products at wholesale rates.",papad|spices|jaggery,RET10,B2B,Only offline,No,Yes,No,Yes,No,No,kn,9901232591
MSE-00019,UDYAM-MH-32-3089542,Mangalmurti Jewellers,Proprietary,Male,General,No,Maharashtra,Thane,608176,32111,Manufacturing,Micro,4,13.0,हम kurtis और leather footwear बनाते हैं। हमारा काम Thane में है और हम ऑनलाइन बेचना चाहते हैं।,kurtis|leather footwear|denim jeans,RET12,B2C,Only online,Yes,No,No,Yes,No,No,hi,9871196046
MSE-00020,UDYAM-MH-09-6154798,Lala & Sons Emmitation,Proprietary,Male,General,No,Maharashtra,Mumbai,133464,32120,Services,Micro,2,1.0,Lala & Sons Emmitation is a micro enterprise producing leather footwear. We want to sell online across India.,leather footwear|denim jeans|kurtis,RET12,B2C,Only offline,No,Yes,No,No,Yes,Yes,hi,9454202695
MSE-00021,UDYAM-PB-03-1739113,Shraddha Deshmukh,Private Limited Company,Female,OBC,No,Punjab,Pathankot,708137,10619,Manufacturing,Micro,4,24.0,हम papad और spices बनाते हैं। हमारा काम Pathankot में है और हम ऑनलाइन बेचना चाहते हैं।,papad|spices|atta,RET10,Both,Only offline,No,No,Yes,Yes,Yes,Yes,bn,9725090333
MSE-00022,UDYAM-TN-19-9133346,Milton Generic Private Limited,Private Limited Company,Male,General,No,Tamil Nadu,Dharmapuri,444827,21001,Services,Micro,10,6.0,"Hum Dharmapuri mein surgical supplies aur medical devices banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",surgical supplies|medical devices|generic medicines,RET19,B2C,Only offline,No,Yes,Yes,Yes,Yes,Yes,en,9337206982
MSE-00023,UDYAM-MH-30-9640721,Pravin Restuarant,Proprietary,Male,General,No,Maharashtra,Ahmednagar,615800,56102,Services,Small,1,20.0,"Small unit making snacks, catering food and sweets. Quality products at wholesale rates.",snacks|catering food|sweets,RET11,B2C,Only online,No,Yes,No,Yes,No,No,kn,9576967998
MSE-00024,UDYAM-TN-13-7944211,T R P  Enterprises,Proprietary,Male,General,No,Tamil Nadu,Tiruchirappalli,180708,23929,Services,Micro,4,4.0,"Humari unit electrical wiring banati hai. 3 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",electrical wiring|tiles|paints,RET1C,B2B,Only offline,No,Yes,No,No,No,Yes,bn,9787350209
MSE-00025,UDYAM-AP-13-0616499,Masanai Annapurna Kendra,Proprietary,Female,General,No,Andhra Pradesh,Visakhapatnam,403485,10796,Services,Micro,1,1.0,Masanai Annapurna Kendra is a micro enterprise producing papad. We want to sell online across India.,papad|pickles|jaggery,RET10,B2C,Both,Yes,Yes,No,Yes,No,Yes,kn,9776771731
MSE-00026,UDYAM-MH-11-8202486,Vedant Marketing,Partnership,Male,General,No,Maharashtra,Hingoli,322613,56292,Services,Micro,2,5.0,Vedant Marketing is a micro enterprise producing snacks. We want to sell online across India.,snacks|beverages|bakery items,RET11,B2C,Only offline,No,Yes,No,Yes,No,No,kn,9676274093
MSE-00027,UDYAM-KL-19-4211505,Jalaram Forms,Proprietary,Male,General,No,Kerala,Alappuzha,417301,18129,Manufacturing,Micro,3,3.0,We manufacture brass handicrafts and home decor items in Alappuzha. Supplying to local shops and traders for over 14 years.,brass handicrafts|home decor items|wooden furniture,RET16,B2C,Both,Yes,No,No,Yes,Yes,Yes,hi,9704296471
MSE-00028,UDYAM-UP-32-8674759,Vidhata Power Electricals,Proprietary,Male,General,No,Uttar Pradesh,Moradabad,511577,27900,Manufacturing,Micro,4,17.0,"Small unit making irons, water purifiers and kitchen appliances. Quality products at wholesale rates.",irons|water purifiers|kitchen appliances,RET15,B2C,Only offline,Yes,Yes,No,Yes,No,Yes,en,9950340024
MSE-00029,UDYAM-KA-17-3993364,Veena General Store,Private Limited Company,Female,General,No,Karnataka,Bengaluru (Urban),160109,56302,Services,Micro,1,1.0,"Hum Bengaluru (Urban) mein bakery items aur sweets banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",bakery items|sweets|catering food,RET11,B2B,Only offline,Yes,Yes,Yes,No,Yes,Yes,gu,9484748343
MSE-00030,UDYAM-KL-10-1287828,Spaak Industries,Partnership,Male,General,No,Kerala,Malappuram,431593,28161,Manufacturing,Micro,5,25.0,"Small unit making industrial fittings, hand tools and steel fabrication. Quality products at wholesale rates.",industrial fittings|hand tools|steel fabrication,RET1B,B2B,Only offline,Yes,Yes,Yes,Yes,No,No,ta,9496690820
MSE-00031,UDYAM-MH-32-1537302,Maa Chamunda Traders,Proprietary,Male,SC,No,Maharashtra,Pune,812866,16233,Services,Micro,2,5.0,हम wooden furniture और cookware बनाते हैं। हमारा काम Pune में है और हम ऑनलाइन बेचना चाहते हैं।,wooden furniture|cookware|home decor items,RET16,B2C,Only offline,No,No,Yes,Yes,No,Yes,kn,9333440415
MSE-00032,UDYAM-UP-21-9060163,Ritesh Traders,Proprietary,Male,SC,No,Uttar Pradesh,Jhansi,839876,56291,Services,Micro,5,1.0,We manufacture catering food and beverages in Jhansi. Supplying to local shops and traders for over 10 years.,catering food|beverages|sweets,RET11,B2C,Only online,Yes,No,No,Yes,No,Yes,ta,9638428906
MSE-00033,UDYAM-JK-08-2566680,Varnada Industries Pvt Ltd,Private Limited Company,Female,General,No,Jammu And Kashmir,Srinagar,530327,22209,Manufacturing,Micro,18,20.0,"Small unit making home decor items, stationery and curtains. Quality products at wholesale rates.",home decor items|stationery|curtains,RET16,Both,Only online,No,Yes,No,Yes,Yes,Yes,mr,9871713570
MSE-00034,UDYAM-PB-06-4608584,Kalyani Watch & Poonam Electronices,Proprietary,Male,OBC,No,Punjab,Jalandhar,768099,26522,Manufacturing,Micro,2,3.0,We manufacture LED lights and computer peripherals in Jalandhar. Supplying to local shops and traders for over 3 years.,LED lights|computer peripherals|mobile accessories,RET14,B2C,Only offline,No,Yes,No,Yes,No,Yes,hi,9908107221
MSE-00035,UDYAM-KL-25-6669818,Rock On Mens Wear,Partnership,Male,General,No,Kerala,Malappuram,629640,14101,Manufacturing,Micro,5,5.0,"Hum Malappuram mein denim jeans aur handbags banate hain. Achhi quality, sahi daam. Online bechna chahte hain.",denim jeans|handbags|cotton sarees,RET12,B2B,Only offline,Yes,Yes,No,Yes,No,Yes,ta,9159259069
MSE-00036,UDYAM-JH-27-6331966,M/S. Prakash Vehicle Body Works,Proprietary,Male,General,No,Jharkhand,Bokaro,455737,29201,Manufacturing,Micro,4,2.0,"Humari unit car care products banati hai. 2 saal se yeh kaam kar rahe hain, ab ONDC pe aana hai.",car care products|engine components|two-wheeler accessories,RET1A,B2C,Only offline,Yes,Yes,No,Yes,No,No,te,9430025405
MSE-00037,UDYAM-GJ-23-3165697,M-Tech Laptop House,Proprietary,Female,OBC,No,Gujarat,Ahmadabad,689909,26201,Manufacturing,Micro,2,15.0,M-Tech Laptop House is a micro enterprise producing CCTV cameras. We want to sell online across India.,CCTV cameras|LED lights|computer peripherals,RET14,B2C,Only offline,Yes,Yes,No,No,No,Yes,hi,9949493863
MSE-00038,UDYAM-TN-06-8343125,Nation Anjuman Suppliers,Proprietary,Male,General,No,Tamil Nadu,Chennai,784106,25994,Services,Micro,1,1.0,"Small unit making machine parts, industrial fittings and fasteners. Quality products at wholesale rates.",machine parts|industrial fittings|fasteners,RET1B,B2C,Only offline,Yes,Yes,Yes,No,No,No,hi,9805847589
